a b
0 1 2 3 4
0
0.023400678019905273 0 -> 0 1
2.1948523888551887E-4 1 -> 0 4
4.805406757544789E-7 1 -> 4 0
1.2207333452731556E-8 2 -> 4 2
8.639812634032076E-8 3 -> 4 4
0.08176796700758121 0 -> 0 2
1.7517924268131014E-7 1 -> 4 1
6.38144230961573E-8 2 -> 4 1
1.0505539612998566E-9 1 -> 4 2
5.258434463166025E-8 2 -> 4 4
1.0538412618291972E-8 3 -> 4 2
1.4101383009190062E-8 4 -> 4 4
0.3316014540270388 0 -> 0 0
2.9682092864646503E-9 1 -> 4 3
9.578803202682085E-9 2 -> 4 3
1.638974336950759E-8 3 -> 4 3
9.184215468288232E-10 4 -> 4 3
6.383021126265492E-6 0 -> 4 1
0.02376114114744692 1 -> 0 0
0.005255161894144544 2 -> 0 2
0.07615063447119642 3 -> 0 4
1.1169243776908726E-7 3 -> 4 0
9.918559609525747E-9 4 -> 4 2
5.651526249664254E-6 0 -> 4 2
0.0015932410061714822 1 -> 0 1
0.0024078034341830003 2 -> 0 1
1.3587838058526243E-8 3 -> 4 1
6.177769273352503E-8 4 -> 4 1
0.009478556286405168 0 -> 0 3
0.0014190600715108508 1 -> 0 2
5.1905766579321E-4 2 -> 0 4
1.309597668695145E-7 2 -> 4 0
0.04494351086745395 3 -> 0 2
0.10318540015445532 4 -> 0 4
1.0683809264761499E-8 4 -> 4 0
2.4005695764920637E-5 0 -> 4 0
7.606413179557199E-4 0 -> 0 4
3.0456902481065644E-4 1 -> 0 3
0.008907578872492007 2 -> 0 3
0.01195696027950038 3 -> 0 3
0.07432799685342155 4 -> 0 3
1.8887482542290124E-6 0 -> 4 3
9.519372782636972E-6 0 -> 4 4
3.0247654573120924E-9 1 -> 4 4
0.9265092752241101 1 -> a
0.03980178262513031 1 -> b
0.044254081321736714 3 -> 0 0
0.06683205393318888 3 -> 0 1
0.013266128942260707 0 -> 1 0
3.2089291233628716E-6 1 -> 3 1
1.0174681373036304E-7 2 -> 3 3
0.004220044612899518 0 -> 1 1
5.759163191015399E-6 1 -> 3 2
2.8120586959670005E-7 2 -> 3 2
4.648305804887313E-6 1 -> 3 3
2.5714310048872664E-7 1 -> 3 4
8.374470317314364E-8 2 -> 3 4
0.052180918254662444 0 -> 1 4
0.0017653163807678106 3 -> 1 3
0.004197104898545243 3 -> 1 4
7.365895824555493E-5 4 -> 1 4
0.013746644914836776 0 -> 1 2
1.5399567080841938E-7 2 -> 3 1
0.0017833134428245742 3 -> 1 1
3.913230596645013E-5 4 -> 1 3
0.02913434829123948 0 -> 1 3
1.5291416281191524E-5 1 -> 3 0
1.1325931741067958E-5 2 -> 3 0
0.012828168654110697 3 -> 1 2
0.004357172989102894 4 -> 1 2
0.13772212970482223 3 -> b
0.061946258766643676 0 -> a
0.37357082595972496 0 -> b
0.03574535066961529 4 -> 0 2
0.013649347452930767 3 -> 1 0
0.46290866520649276 4 -> 0 1
0.001087205223293992 4 -> 0 0
2.1926771959900293E-5 1 -> 2 2
1.129450802156997E-6 2 -> 2 4
0.001044494082283805 0 -> 2 0
1.2598306116342348E-4 1 -> 2 3
1.9770952712109785E-6 2 -> 2 3
8.082855209878143E-6 1 -> 2 4
3.791579266101629E-6 3 -> 2 4
2.709144515205166E-5 0 -> 2 3
5.101906977126119E-6 2 -> 2 0
3.991875327976212E-6 3 -> 2 2
1.932980809382592E-6 4 -> 2 4
3.639073308143082E-5 0 -> 2 4
5.261862463039781E-6 3 -> 2 3
3.5205687013298775E-5 4 -> 2 3
5.463091546269609E-4 0 -> 2 1
2.650272286601652E-4 1 -> 2 0
9.69056405032727E-6 2 -> 2 2
0.001785795517662257 3 -> 2 0
1.960406789511658E-5 4 -> 2 2
0.0030051388318358212 0 -> 2 2
8.69030158741635E-5 1 -> 2 1
5.9220118757588655E-6 2 -> 2 1
3.5479215038849382E-6 3 -> 2 1
3.7360450105836535E-5 4 -> 2 1
0.31029274012686714 4 -> a
0.004007031446057219 4 -> b
0.5821063560332411 3 -> a
7.586646501653736E-4 4 -> 1 1
0.0030939935809853273 4 -> 1 0
5.508039328332021E-4 1 -> 1 3
3.4015562629551E-4 1 -> 1 4
9.33092263775859E-6 2 -> 1 4
2.663396602777868E-6 3 -> 3 3
1.2337779216234357E-6 3 -> 3 4
4.3655141704646164E-7 4 -> 3 4
2.864875745494458E-5 0 -> 3 2
8.337837682489057E-5 2 -> 1 1
1.0346611240108016E-6 3 -> 3 1
3.52175007653814E-7 4 -> 3 3
2.1694285384474698E-5 0 -> 3 3
0.00248620782991648 1 -> 1 0
0.012199770434429309 2 -> 1 0
2.5642509205583345E-6 3 -> 3 2
9.260374068604901E-8 4 -> 3 2
8.682722045832682E-5 0 -> 3 0
0.002065709042873385 1 -> 1 1
4.0165140706832755E-4 2 -> 1 3
1.765066891183403E-6 4 -> 3 1
1.2152384466341665E-5 0 -> 3 1
4.108185762017206E-4 1 -> 1 2
1.6009473762391212E-4 2 -> 1 2
8.991103313815504E-7 3 -> 3 0
1.5366801533936502E-7 4 -> 3 0
6.933833992353416E-5 0 -> 3 4
0.34953541700694024 2 -> a
0.5413959202606206 2 -> b
2.5987184566118418E-5 4 -> 2 0
0.07908879818880059 2 -> 0 0
